Filiala,,,,,,,,,,,,,ACTIVITĂŢI CULTURALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filiala,,,PLANIFICARE / REALIZARE 2019,,,
,ACTIVITĂŢI ŞTIINŢIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERVICII  ÎN DOMENIUL TI,,,,,,,,,SERVICII INFORMAŢIONALE,,,,,,,,,                                                                                          SERVICII EDUCAŢIONALE  (de dezvoltare personală)                                                                                                                             ,,,,,,,,,                                                                              SERVICII DE RECREERE,,,,,,,,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conferinţă,,Simpozion,,Lecţie publică ,,Masă rotundă,,Colocviu,,TOTAL,,Întâlnire cu scriitori,,Întâlnire cu personalităţi,,Discuţie / dezbatere,,Oră de lectură,,"Spectacol   (seară lit.artist./muzicala, medalion lit.art., matineu, recital de poezie)  ",,"Concurs (de erudiție, de creație etc.)",,"Vizionarea
filmelor și documentelor video tematice",,Lansare de publicaţii,,Prezentare de publicaţii,,Revistă bibliografică,,Atelier de creaţie,,Jocuri de logică,,"Expoziţie (pictură, foto, desene, handmade etc.)        ",,"Alte activităţi: Saloane, Târguri, Festivaluri etc.",,TOTAL,, NR. ACTIVITĂŢI PENTRU COPII (din total) ,,CLUB,,CENACLU,,EXPOZIŢII DE CARTE,,(servicii de formare a competenţelor digitale),,,,,,,,,,,,,,,,,,"(studierea limbilor, teatru, conduită, artă oratorică, orientarea în carieră, educaţie interdisciplinară, educaţie civică, sănătate, muzică, educaţie cognitivă etc.) ",,,,,,,,,"(modelare, quiling, croşetare, macrameu, croitorie, dans, cinema,jocuri de logică etc)",,,,,,,,,ACTIVITĂŢI,,Nr. activităţi pentru copii (din total),,CLUB,,CENACLU,,Expoziţii,,SERVICII LIVRATE,,,,,,,,,Din care servicii în domeniul TI,,,,,,,,,,,,Servicii moderne planificate,Servicii moderne realizate,Servicii de lectură planificate,Servicii de lectură realizate
,Activități,"Nr. 
participanți",Activități,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Activităţi,Nr. participanţi,Activităţi,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Nr. act.,Nr. part.,Nr. act.,Nr. part.,Activităţi,"Nr. 
participanţi",Activităţi,"Nr. 
participanţi",Nr./cluburi de lectură active în bibliotecă,Nr./ şedinţe,"Nr. /cenacluri
active
în bibliotecă",Nr. / şedinţe,Nr expoziţii / Tradiţionale,Nr. expoziţii / Virtuale,Nr. servicii livrate,Nr. servicii /  până la 16 ani ,Nr. total de ore de instruire non-formală ,Nr. total de ore de instruire non-formală /copii,Nr. total de instruiri ,"Nr. 
utilizatori care au beneficiat de servicii (intrări, vizite)","Nr. 
utilizatori care au beneficiat de servicii / copii (intrări, vizite)",Nr.total de participanţi la ore de instruire non-formală,Nr.total de participanţi la ore de instruire non-formală / copii,Nr. servicii livrate, Nr. servicii  până la 16 ani (din total),Nr. total de ore de instruire non-formală ,Nr. total de ore de instruire non-formală /copii,Nr. total de instruiri ,"Nr. 
utilizatori care au beneficiat de servicii (intrări, vizite.)","Nr. 
utilizatori care au beneficiat de servicii / copii (intrări, vizite.)",Nr.total de participanţi la ore de instruire non-formală,Nr.total de participanţi la ore de instruire non-formală / copii,   Nr. servicii livrate                                                         ,Nr. servicii / până la 16 ani (din total),Nr. total de ore de instruire non-formală ,Nr. total de ore de instruire non-formală /copii,Nr. total de instruiri ,"Nr. 
utilizatori care au beneficiat de servicii (intrări, vizite.)","Nr. 
utilizatori care au beneficiat de servicii / copii (intrări, vizite)",Nr.total de participanţi la ore de instruire non-formală,Nr.total de participanţi la ore de instruire non-formală / copii,Nr. servicii livrate,Nr. servicii /până la 16 ani (din total),Nr. total de ore de instruire non-formală ,Nr. total de ore de instruire non-formală /copii,Nr. total de instruiri ,"Nr. 
utilizatori care au beneficiat de servicii (intrări, vizite)","Nr. 
utilizatori care au beneficiat de servicii / copii (intrări, vizite)",Nr.total de participanţi la ore de instruire non-formală,Nr.total de participanţi la ore de instruire non-formală / copii,Nr. act.,Nr. part.,Nr. act.,Nr. part.,Nr./cluburi de lectură active în bibliotecă,Nr./ şedinţe,"Nr. /cenacluri
active
în bibliotecă",Nr. / şedinţe,Nr. expoziţii / tradiţionale,Nr. expoziţii  / virtuale,Nr. servicii livrate,Nr. servicii/ până la 16 ani (din total),Nr. total de ore de instruire non-formală ,Nr. total de ore de instruire non-formală /copii,Nr. total de instruiri ,"Nr. 
utilizatori care au beneficiat de servicii (intrări, vizite)","Nr. 
utilizatori care au beneficiat de servicii / copii (intrări, vizite)",Nr.total de participanţi la ore de instruire non-formală,Nr.total de participanţi la ore de instruire non-formală / copii,Nr. servicii livrate,Nr.servicii/ până la 16 ani (din total),Nr. total de ore de instruire non-formală ,Nr. total de ore de instruire non-formală /copii,Nr. total de instruiri ,"Nr. 
utilizatori care au beneficiat de servicii (intrări, vizite)","Nr. utilizatori care au beneficiat de servicii / copii (intrări, vizite)",Nr.total de participanţi la ore de instruire non-formală ,Nr.total de participanţi la ore de instruire non-formal/copii,,,,Nr servicii,Nr. servicii,Nr. servicii,"Nr. servicii
"
A. Donici,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,25,3,35,1,70,1,12,2,12,0,0,1,11,1,24,1,10,0,0,1,19,,,12,218,11,199,0,0,0,0,6,2,2,2,7,7,7,31,31,5,5,0,0,0,0,0,0,0,0,0,1,1,3,3,3,27,27,4,4,0,0,0,0,0,0,0,0,0,12,218,11,199,0,0,0,0,6,2,3,3,10,10,10,58,58,9,9,2,2,7,7,7,31,31,5,5,A. Donici,,,3,3,,
A. Mickiewicz,,,,,,,,,,,0,0,,,,,7,150,2,30,,,,,1,21,,,,,,,,,,,,,,,10,201,8,162,0,0,0,0,3,0,1,0,14,0,7,34,0,5,0,,,,,,,,,,1,0,4,0,2,44,0,44,0,3,3,12,12,12,62,62,14,14,10,201,8,162,0,0,0,0,3,0,5,3,30,12,21,140,62,63,14,1,0,14,0,7,34,0,5,0,A. Mickiewicz,,,5,5,0,0
A. Russo,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,74,2,74,0,0,0,0,5,0,2,1,7,4,7,45,34,11,9,1,1,3,3,3,33,33,10,10,1,1,4,4,4,68,68,18,18,1,1,4,4,4,31,31,6,6,2,74,2,74,0,0,0,0,5,0,5,4,18,15,18,177,166,45,43,2,1,7,4,7,45,34,11,9,A. Russo,,,5,5,1,1
Alba Iulia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,122,1,27,0,0,0,0,0,0,0,0,2,53,0,0,0,0,0,0,1,14,,,7,216,5,175,0,0,0,0,5,0,1,1,4,4,4,19,19,4,4,0,0,0,0,0,0,0,0,0,1,1,2,2,2,12,12,5,5,1,1,2,2,2,21,21,9,9,7,216,5,175,0,0,0,0,5,0,3,3,8,8,8,52,52,18,18,1,1,4,4,4,19,19,4,4,Alba Iulia,,,,,,
Arte „T. Arghezi”,0,0,0,0,1,51,0,0,0,0,1,51,0,0,1,35,0,0,0,0,2,42,4,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7,305,2,42,0,0,0,0,6,1,1,1,4,4,4,24,24,6,6,1,1,1,1,1,9,9,9,9,5,4,19,17,19,78,63,31,28,1,1,4,4,4,20,20,10,10,8,356,2,42,0,0,0,0,6,1,8,7,28,26,28,131,116,56,53,1,1,4,4,4,24,24,6,6,Arte „T. Arghezi”,,,9,8,,
Biblioteca Centrală,,,,,,,1,24,,,1,24,,,1,30,5,93,,,,,,,,,2,218,,,,,,,,,2,42,6,242,16,625,0,0,2,3,2,3,7,4,2,1,9,2,9,46,9,18,9,0,0,0,0,0,0,0,0,0,1,0,5,0,4,168,0,65,0,1,0,6,0,6,22,0,8,0,17,649,0,0,2,3,2,3,7,4,4,1,20,2,19,236,9,91,9,2,1,9,2,9,46,9,18,9,Biblioteca Centrală,,,,,,
BP Drept,0,0,0,0,1,19,0,0,0,0,1,19,,,,,4,65,,,,,,,,,,,,,,,,,,,,,,,4,65,0,0,0,0,0,0,2,0,2,0,6,0,6,8,0,5,0,0,0,0,0,0,0,0,0,0,2,0,12,0,6,149,0,47,8,0,0,0,0,0,0,0,0,0,5,84,0,0,0,0,0,0,2,0,4,0,18,0,12,157,0,52,8,2,0,6,0,6,8,0,5,0,BP Drept,,,3,,0,
CA Eminescu,,,,,,,,,,,0,0,1,26,1,55,,,3,87,3,88,,,,,,,1,32,9,305,,,,,2,76,1,423,21,1092,7,595,,,,,11,,1,1,2,2,2,8,8,4,4,,,,,,,,,,1,1,18,18,9,34,34,4,4,3,2,34,18,18,108,60,19,11,21,1092,7,595,0,0,0,0,11,0,5,4,54,38,29,150,102,27,19,1,1,2,2,2,8,8,4,4,CA Eminescu,,,5,5,,
Codru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,0,0,,,9,117,3,56,0,0,0,0,3,0,1,0,4,0,4,9,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,16,0,16,0,0,0,0,0,0,0,0,0,0,9,117,3,56,0,0,0,0,3,0,2,0,5,0,5,25,0,19,0,1,0,4,0,4,9,0,3,0,Codru,,,3,3,1,1
H. Botev,0,0,0,0,2,58,0,0,0,0,2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,,,1,6,0,0,0,0,0,0,6,0,1,0,3,0,3,7,0,3,0,1,0,3,0,5,9,0,3,0,3,1,9,3,10,393,101,49,18,1,0,3,0,3,23,0,8,0,3,64,0,0,0,0,0,0,6,0,6,1,18,3,21,432,101,63,18,1,0,3,0,3,7,0,3,0,H. Botev,,,5,5,1,1
I. Mangher,0,0,0,0,1,103,0,0,0,0,1,103,0,0,0,0,3,36,3,33,0,0,0,0,0,0,0,0,0,0,6,78,0,0,0,0,0,0,,,12,147,0,0,0,0,0,0,51,15,1,0,4,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,10,3,52,6,32,511,102,326,51,3,3,33,33,33,348,348,91,91,13,250,0,0,0,0,0,0,51,15,14,6,89,39,69,863,450,418,142,1,0,4,0,4,4,0,1,0,I. Mangher,0,0,,,,
L. Rebreanu,0,0,0,0,2,13,0,0,0,0,2,13,0,0,0,0,1,25,2,13,3,130,1,9,0,0,0,0,5,80,,,,,,,,,,,12,257,10,100,0,0,0,0,9,0,2,2,9,9,9,37,37,37,37,0,0,0,0,0,0,0,0,0,1,1,8,8,8,35,35,35,35,3,3,14,14,14,84,84,21,21,14,270,10,100,0,0,0,0,9,0,6,6,31,31,31,156,156,93,93,2,2,9,9,9,37,37,37,37,L. Rebreanu,,,,,,
L. Ukrainka,0,0,0,0,0,0,1,26,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,,,1,18,0,0,0,0,0,0,4,0,1,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,4,8,40,32,23,20,2,44,0,0,0,0,0,0,4,0,3,1,12,4,12,44,32,27,20,1,0,4,0,4,4,0,4,0,L. Ukrainka,,,3,3,0,0
M. Ciachir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,2,23,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,,,6,73,5,62,1,1,1,1,3,8,2,0,5,0,5,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,16,16,8,8,6,73,5,62,1,1,1,1,3,8,3,1,7,2,7,26,16,10,8,2,0,5,0,5,10,0,2,0,M. Ciachir,,,3,3,2,2
M. Costin,0,0,0,0,0,0,0,0,0,0,0,0,2,49,0,0,0,0,3,42,0,0,0,0,1,14,0,0,0,0,0,0,6,60,0,0,0,0,,,12,165,8,109,0,0,0,0,4,5,1,0,10,0,6,20,0,6,0,0,0,0,0,0,0,0,0,0,1,1,8,8,8,151,151,15,15,0,0,0,0,0,0,0,0,0,12,165,8,109,0,0,0,0,4,5,2,1,18,8,14,171,151,21,15,1,0,10,0,6,20,0,6,0,M. Costin,,,2,2,1,1
M. Drăgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,17,,,6,55,5,38,0,0,0,0,3,0,1,1,2,2,2,10,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,13,13,8,8,6,55,5,38,0,0,0,0,3,0,2,2,4,4,4,23,23,13,13,1,1,2,2,2,10,10,5,5,M. Drăgan,,,3,2,0,0
M. Lomonosov,,,,,6,63,,,,,6,63,0,0,1,65,4,34,0,0,3,113,0,0,0,,1,21,,,,,,,,,1,10,,,10,243,0,0,0,0,0,0,13,6,3,0,28,0,14,107,0,26,0,0,0,0,0,0,0,0,0,0,11,1,126,8,60,941,111,366,111,1,,2,,1,8,0,8,0,16,306,0,0,0,0,0,0,13,6,15,1,156,8,75,1056,111,400,111,3,0,28,0,14,107,0,26,0,M. Lomonosov,,,,,,
Maramureş,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,71,1,23,1,5,0,0,0,0,0,0,2,29,0,0,0,0,0,0,0,0,0,0,8,128,3,52,0,0,0,0,5,0,1,0,3,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,2,1,4,2,4,88,55,21,0,2,1,4,2,4,80,12,37,12,8,128,3,52,0,0,0,0,5,0,5,2,11,4,11,171,67,59,12,1,0,3,0,3,3,0,1,0,Maramureş,,,5,5,1,1
N. Titulescu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,4,71,3,55,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,,,9,165,9,165,0,0,0,0,4,1,2,2,8,8,8,87,87,20,20,0,0,0,0,0,0,0,0,0,2,2,4,4,4,50,50,20,20,0,0,0,0,0,0,0,0,0,9,165,9,165,0,0,0,0,4,1,4,4,12,12,12,137,137,40,40,2,2,8,8,8,87,87,20,20,N. Titulescu,,,,,,
O. Ghibu,0,0,0,0,1,25,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,195,4,199,0,0,0,0,0,0,1,20,0,0,7,414,0,0,2,6,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,439,0,0,2,6,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O. Ghibu,,,0,0,2,2
Ovidius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,44,1,16,1,38,0,0,0,0,0,0,2,30,0,0,0,0,0,0,,,10,128,6,44,1,38,0,0,12,0,5,3,23,10,23,78,38,19,12,0,0,0,0,0,0,0,0,0,1,1,8,8,4,26,26,6,6,2,1,23,2,6,74,18,30,18,10,128,6,44,1,38,0,0,12,0,8,5,54,20,33,178,82,55,36,5,3,23,10,23,78,38,19,12,Ovidius,,,8,8,0,0
Ştefan cel Mare,0,0,0,0,1,59,0,0,0,0,1,59,0,0,0,0,1,14,2,37,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,,,5,125,4,118,0,0,1,14,3,0,2,1,8,3,8,18,6,6,4,0,0,0,0,0,0,0,0,0,7,6,16,13,16,133,118,72,66,2,2,5,5,5,54,54,26,26,6,184,4,118,0,0,1,14,3,0,11,9,29,21,29,205,178,104,96,2,1,8,3,8,18,6,6,4,Ştefan cel Mare,,,11,11,2,2
